Map,Name,Description,Class,Subclass,PMIDS
map00909,Sesquiterpenoid and triterpenoid biosynthesis,"Sesquiterpenoids (C15 terpenoids) are a group of terpenoids consisting of three isoprene units. They are derive from farnesyl diphosphate (FPP) and can be cyclized to produce various skeletal structures. Sesquiterpenoid biosynthesis begins with the loss of diphosphate from FPP under the action of sesquiterpene synthesis enzymes, generating an allylic cation that is highly susceptible to intramolecular attacks. Cyclization of the farnesyl cation may take place onto either of the remaining double bonds with the result that 6-, 10-, or 11-membered rings may be formed. Many sesquiterpenoids have been isolated from plants, fungi, marine organisms, and Streptomyces species. This map shows a few examples of acyclic and cyclic sesquiterpenoids.",Metabolism, Metabolism of terpenoids and polyketides,"['12011356', '15148404', '16579958', '17226502', '18356490', '18363779', '19030608', '21876149', '9371761', '9442047']"
map00910,Nitrogen metabolism,"The biological process of the nitrogen cycle is a complex interplay among different microorganisms catalyzing different reactions, where nitrogen is found in various oxidation states ranging from +5 in nitrate to -3 in ammonia. The core nitrogen cycle involves four reduction pathways and two oxidation pathways. Nitrogen fixation [MD:M00175] is the process of reducing atmospheric molecular nitrogen to ammonia, a biologically useful reduced form incorporated into amino acids and other vital compounds. The ability of fixing atmospheric nitrogen by the nitrogenase enzyme complex is present in restricted prokaryotes (diazotrophs). The other reduction pathways are assimilatory nitrate reduction [MD:M00531] and dissimilatory nitrate reduction [MD:M00530] both for conversion to ammonia, and denitrification [MD:M00529]. Denitrification is a respiration in which nitrate or nitrite is reduced as a terminal electron acceptor under low oxygen or anoxic conditions, producing gaseous nitrogen compounds (N2, NO and N2O) to the atmosphere. The two oxidation pathways are nitrification [MD:M00528] and anaerobic ammonium oxidation (anammox) [MD:M00973]. Nitrification is the oxidation of ammonia (NH3) with oxygen into nitrite followed by the oxidation of nitrite into nitrate. The first step is performed by ammonia-oxidizing microorganisms (e.g., Nitrosomonas and Nitrosococcus) and the second step by nitrite-oxidizing microorganisms (e.g., Nitrobacter). Anammox is a biochemical process of oxidizing ammonium (NH4+) into dinitrogen gas (N2) using nitrite as an electron acceptor. It occurs in the anammoxosome, a membrane bound compartment inside the cytoplasm, of anammox bacteria (e.g., Planctomycetes).",Metabolism, Energy metabolism,"['11004450', '11921398', '14702404', '15528644', '17408485', '18021072', '19247843', '22221911', '26610024', '26610025']"
map00920,Sulfur metabolism,"Sulfur is an essential element for life and the metabolism of organic sulfur compounds plays an important role in the global sulfur cycle. Sulfur occurs in various oxidation states ranging from +6 in sulfate to -2 in sulfide (H2S). Sulfate reduction can occur in both an energy consuming assimilatory pathway and an energy producing dissimilatory pathway. The assimilatory pathway, which is found in a wide range of organisms, produces reduced sulfur compounds for the biosynthesis of S-containing amino acids and does not lead to direct excretion of sulfide. In the dissimilatory pathway, which is restricted to obligatory anaerobic bacterial and archaeal lineages, sulfate (or sulfur) is the terminal electron acceptor of the respiratory chain producing large quantities of inorganic sulfide. Both pathways start from the activation of sulfate by reaction with ATP to form adenylyl sulfate (APS). In the assimilatory pathway [MD:M00176] APS is converted to 3'-phosphoadenylyl sulfate (PAPS) and then reduced to sulfite, and sulfite is further reduced to sulfide by the assimilatory sulfite reductase. In the dissimilatory pathway [MD:M00596] APS is directly reduced to sulfite, and sulfite is further reduced to sulfide by the dissimilatory sulfite reductase. The capacity for oxidation of sulfur is quite widespread among bacteria and archaea, comprising phototrophs and chemolithoautotrophs. The SOX (sulfur-oxidation) system [MD:M00595] is a well-known sulfur oxidation pathway and is found in both photosynthetic and non-photosynthetic sulfur-oxidizing bacteria. Green sulfur bacteria and purple sulfur bacteria carry out anoxygenic photosynthesis with reduced sulfur compounds such as sulfide and elemental sulfur, as well as thiosulfate (in some species with the SOX system), as the electron donor for photoautotrophic growth. In some chemolithoautotrophic sulfur oxidizers (such as Thiobacillus denitrificans), it has been suggested that dissimilatory sulfur reduction enzymes operate in the reverse direction, forming a sulfur oxidation pathway from sulfite to APS and then to sulfate.",Metabolism, Energy metabolism,"['16452431', '18929068', '20143161', '21833341', '22092713', '22633058', '22982583', '9695921']"
map00930,Caprolactam degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['11571189', '12535077', '15658985']"
map00940,Phenylpropanoid biosynthesis,"Phenylpropanoids are a group of plant secondary metabolites derived from phenylalanine and having a wide variety of functions both as structural and signaling molecules. Phenylalanine is first converted to cinnamic acid by deamination. It is followed by hydroxylation and frequent methylation to generate coumaric acid and other acids with a phenylpropane (C6-C3) unit. Reduction of the CoA-activated carboxyl groups of these acids results in the corresponding aldehydes and alcohols. The alcohols are called monolignols, the starting compounds for biosynthesis of lignin.",Metabolism, Biosynthesis of other secondary metabolites,"['10692459', '10934215', '12009990', '12084820', '12242395', '14551235', '14568076', '14612585', '14729911', '1477555', '15878986', '16027976', '8972602']"
map00941,Flavonoid biosynthesis,"Flavonoids are a major class of plant secondary metabolites that serves a multitude of functions including pigments and antioxidant activity. Flavonoids are synthesized from phenylpropanoid derivatives by condensation with malonyl-CoA. For example, condensation of p-coumaroyl-CoA (C6-C3) with three malonyl-CoA (C3) molecules results in naringenin chalcone with a diphenylpropane (C6-C3-C6) unit, which is converted to naringenin with the flavone (2-phenylchromen-4-one) backbone by conjugate ring closure. These and further modifications yield a variety of structural forms including chalcones, flavanones, dihyroflavonols, and flavans, anthocyanins, flavones and flavonols, and isoflavonoids.",Metabolism, Biosynthesis of other secondary metabolites,"['11073455', '12644647', '12828368', '15231405', '16367960', '16667183', '16774647', '16832053', '16945088']"
map00942,Anthocyanin biosynthesis,"Anthocyanidins (aglycones) and anthocyanins (glycosides) are common plant pigments and belong to a structural subclass of flavonoids characterized by a 2-phenylbenzopyrylium unit. They are derived along the flavonoid modification pathways and further separated into three types, pelargonidin, cyanidin, and delphinidin, due to the different number of hydroxyl groups in the phenyl group.",Metabolism, Biosynthesis of other secondary metabolites,"['10504566', '10536025', '11598135', '12226348', '12242398', '12828368', '12857844', '15165190', '15509561', '15842621', '15860422', '15944692', '16887235', '16945088', '17383962', '8130799']"
map00943,Isoflavonoid biosynthesis,"Isoflavonoids are biologically active compounds, such as phytoestrogens, produced by pea family plants. While flavonoids (in the narrow sense) have the 2-phenylchromen-4-one backbone, isoflavonoids have the 3-phenylchromen-4-one backbone with no hydroxyl group substitution at position 2. Isoflavonoids are derived from the flavonoid biosynthesis pathway via liquiritigenin or naringenin.",Metabolism, Biosynthesis of other secondary metabolites,"['11027686', '11164575', '12179983', '12207646', '14617078', '15082922', '16006598', '16667851', '16924535', '16996502', '17452423', '24197106']"
map00944,Flavone and flavonol biosynthesis,Flavones and flavonols (3-hydroxyflavones) are common flavonoids in the plant kingdom. They are synthesized as part of the flavonoid modification pathways in aglycone and glucoside forms.,Metabolism, Biosynthesis of other secondary metabolites,"['10567367', '12482447', '15807784', '17277900', '24177970', '24241851', '3994393', '6462109']"
map00945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis","Stilbenoids are a group of phenolic compounds, biosynthetically interrelated through their common origin from a C6-C2-C6 intermediate, such as resveratol found in grapes. Stilbenoids can also exist as glycosides (e.g., piceid). Combretastatins are potentially useful stilbenoid natural products with known antitumor activity. Diarylheptanoid is a compound group having phenyl rings at 1,7 positions of n-heptane (C6-C7-C6), such as curcumin found in the ginger family. [6]-Gingerol is a major active component of ginger and has diverse pharmacologic effects.",Metabolism, Biosynthesis of other secondary metabolites,"['16890967', '17509574', '19258320']"
map00946,Degradation of flavonoids,"Flavonoids are polyphenolic compounds with the C6-C3-C6 skeleton structure. Natural flavonoids, including their O-glycoside and C-glycoside forms, are synthesized as plant secondary metabolites and thus ubiquitously found in foods of plant origin. Because of the potential health benefits of dietary flavonoids, there has been much interest in characterizing the involvement of gut microbiome and identifying key metabolites and their interactions. For example, equol metabolized from soy products [MD:M00966] is known to have estrogenic activity.",Metabolism, Biosynthesis of other secondary metabolites,"['22582059', '27059806', '31527435', '34444848']"
map00950,Isoquinoline alkaloid biosynthesis,"Isoquinoline alkaloids are tyrosine-derived plant alkaloids with an isoquinoline skeleton. Among them benzylisoquinoline alkaloids form an important group with potent pharmacological activity, including analgesic compounds of morphine and codeine, and anti-infective agents of berberine, palmatine, and magnoflorine. Biosynthesis of isoquinoline alkaloids proceeds via decarboxylation of tyrosine or DOPA to yield dopamine, which together with 4-hydroxyphenylacetaldehyde, an aldehyde derived from tyrosine, is converted to reticuline, an important precursor of various benzylisoquinoline alkaloids.",Metabolism, Biosynthesis of other secondary metabolites,"['10811648', '12423366', '14675446', '18230623', '18476877', '18492807', '24241413']"
map00965,Betalain biosynthesis,"Betalains are water-soluble nitrogen-containing pigments that are present in plants belonging to the order Caryophyllales (such as cactus and amaranth families) and in higher fungi. They contain betalamic acid as the chromophore and are classified into two types: betacyanins and betaxanthins. Betacyanins contain a cyclo-DOPA residue and exhibit red/violet coloration, while betaxanthins contain different amino acids or amino side chains and exhibit a yellow/orange coloration. The condensation of betalamic acid with amino acids (including cyclo-DOPA or amines) in plants is a spontaneous reaction, not an enzyme-catalyzed reaction.",Metabolism, Biosynthesis of other secondary metabolites,"['11855654', '12620337', '15805475', '16247652']"
map00966,Glucosinolate biosynthesis,"Glucosinolates are biologically active secondary metabolites found in Brassicaceae (mustard family) and related families.These compounds are genetically variable within plant species and used as natural pesticides, such as against insect herbivores. All glucosinolates share a common structure consisting of a beta-thioglucose moiety, a sulfonated oxime moiety, and a variable aglycone side chain derived from an alpha-amino acid. Genes encoding glucosinolate biosynthetic enzymes have been identified in Arabidopsis thaliana by genetic polymorphisms and loss-of-function mutations. This map shows examples of side chain elongation in methionine-derived glucosinolates and the core pathway for biosynthesis of glucosinolates from amino acids.",Metabolism, Biosynthesis of other secondary metabolites,"['12049923', '12586901', '14740211', '15358770', '15913672']"
map00970,Aminoacyl-tRNA biosynthesis,,Genetic Information Processing, Translation,"['15314242', '18252769']"
map00981,Insect hormone biosynthesis,,Metabolism, Metabolism of terpenoids and polyketides,"['15026169', '15350618', '15355237']"
map00984,Steroid degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['17264217', '17630785', '19843168', '19875455', '20554032', '20843794', '20889498', '21056662', '21924910', '22045806']"
map00996,Biosynthesis of various alkaloids,,Metabolism, Biosynthesis of other secondary metabolites,"['10217426', '16874388', '19553373', '27892922', '28754839']"
map00997,Biosynthesis of various other secondary metabolites,,Metabolism, Biosynthesis of other secondary metabolites,"['1393837', '17003031', '18689486', '19138128', '19635410', '19775248', '23653178', '24612080', '24677498', '30867596']"
map00998,Biosynthesis of various antibiotics,,Metabolism, Biosynthesis of other secondary metabolites,"['12138123', '17017767', '17335090', '19807062', '20086163', '23586652', '24568283', '25644640', '27062037', '7500951', '8576156']"
map00999,Biosynthesis of various plant secondary metabolites,,Metabolism, Biosynthesis of other secondary metabolites,"['15009205', '17544411', '22569263', '26359402', '26558757', '36952412', '7622460', '9952442', '33346890']"
map01040,Biosynthesis of unsaturated fatty acids,,Metabolism, Lipid metabolism,"['11500517', '11734571', '12087109', '12482854', '16564093', '16766224', '17719544', '19826053', '20018209', '20937905', '21959040', '22158834', '22562166', '24184513', '28784662']"
map01051,Biosynthesis of ansamycins,,Metabolism, Metabolism of terpenoids and polyketides,"['11996558', '12060743', '12207504', '12207505', '12623077', '12888623', '14624546', '15700959', '15791687', '16079331', '17076505', '18721757', '19292483', '21081954', '21681880', '22193711', '22195559']"
map01053,Biosynthesis of siderophore group nonribosomal peptides,,Metabolism, Metabolism of terpenoids and polyketides,"['10692387', '11029592', '11112537', '12040125', '9818149']"
map01054,Nonribosomal peptide structures,,Metabolism, Metabolism of terpenoids and polyketides,"['11001063', '11048953', '14766543', '15109718', '9830033', '9864322', '9303382']"
map01055,Biosynthesis of vancomycin group antibiotics,,Metabolism, Metabolism of terpenoids and polyketides,"['11035791', '12596194', '24884615', '9545426']"
map01056,Biosynthesis of type II polyketide backbone,,Metabolism, Metabolism of terpenoids and polyketides,"['10467738', '10509907', '10551844', '10658662', '11902441', '15286722', '15458634', '1548230', '15544323', '16263270', '16793516', '17013601', '17268612', '18205400', '18250311', '18388203', '19362634', '20358042', '20522541', '2394677', '9375253']"
map01059,Biosynthesis of enediyne antibiotics,"Enediyne natural products are potent antitumor antibiotics produced by a variety of Actinomycetes. Enediyne has a unique structure consisting of three building blocks: aromatic, sugar and enediyne core. The enediyne core contains two acetylenic groups conjugated to a double bond in a 9- or 10-membered ring, and it is synthesized by an iterative type I polyketide synthase and other tailoring proteins [MD:M00824 M00825]. The 10-membered enediyne such as calicheamicin also contains an allylic trisulfide group, which acts as a trigger for diradical formation. This diagram shows the biosynthesis of C-1027, maduropeptin, neocarzinostatin, kedarcidin and calicheamicin. Some aromatic moieties are synthesized via iterative type I polyketide synthases, and others are derived from chorismate and aromatic amino acids such as tyrosine and azatyrosine [MD:M00829 M00830 M00831 M00834 M00826 M00827 M00828 M00832]. Finally, the aromatic and sugar building blocks are attached to the enediyne core by acyltransferases, condensation enzymes and glucosyltransferases [MD:M00833].",Metabolism, Metabolism of terpenoids and polyketides,"['12183628', '12183629', '14580219', '15797213', '16104723', '16887797', '17918933', '18182490', '18223152', '18397168', '18426211', '18561189', '19357082', '19362637', '19689130', '19817865', '19856960', '20024241', '20336235', '20534556', '20704329', '20718468', '21358050', '23034235', '23360970', '23633564', '23844627', '24041368', '24978950', '25278375']"
map01501,beta-Lactam resistance,"The beta-lactam antibiotics are the most widely used group of antibiotics, which exert their effect by interfering with the structural crosslinking of peptidoglycans in bacterial cell walls. Over the past decades, a rapid increase in the number of beta-lactam-resistant clinical isolates is observed. Bacterial resistance to beta-lactam antibiotics can be achieved by any of the following strategies: producing inactivating enzymes called beta-lactamases, altering the beta-lactam targets of penicillin-binding proteins (PBPs), reducing transport of beta-lactams into the periplasmic space via changes in porins, and using the mechanisms for exclusion of beta-lactams by way of efflux pumps. Resistance may result from intrinsic properties of organisms, through gene mutations, and through plasmid- and transposon-specified genes.",Human Diseases, Drug resistance: antimicrobial,"['11895293', '12222968', '15105114', '15387820', '15855496', '16048914', '16143832', '17277059', '18248419', '19026770', '19154333', '19258280', '20351243', '21149619', '21173183', '22371895', '22438804', '23034325', '23163477', '9797206']"
map01502,Vancomycin resistance,"Vancomycin (VCM) is a glycopeptide antibiotic agent that inhibits the synthesis of peptidolgycan in the production of bacterial cell walls. It is active in most Gram-positive bacteria and acts by binding to the D-Ala-D-Ala C-terminus of pentapeptide, thus blocking the addition of subunits to the peptidoglycan backbone. The resistance to VCM was first described among enterococci in the late 1980s in Europe. Subsequently, vancomycin-resistant enteococci (VRE) have been observed in many countries. The genes encoding resistance are carried on plasmids that can tranfer themselves from cell to cell and on tranponsons that can jump from plamids to the chromosome. Up to now, at least six resistance operon types are characterized, namely VanA, VanB, VanC, VanD, VanE and VanG. The VanA and VanB operons are detected on plasmids or in the chromosome, whereas the rest are found in the chromosome. In addition, Streptomyces, which is non-pathogenic, non-glycopeptide-producing actinomycete, also shows high-level resistance to VCM. In Streptomyces, novel genes (vanK and vanJ) are characterized with no counterparts found in the resistance clusters of pathogenic bacteria.",Human Diseases, Drug resistance: antimicrobial,"['10564477', '10878136', '11023964', '11036060', '12047383', '14617152', '15130128', '15616270', '15632111', '16323116', '16420361', '18792691', '20383152', '21569315', '22913355', '23836175', '7854121', '8631706', '8899966']"
map01503,Cationic antimicrobial peptide (CAMP) resistance,"Cationic antimicrobial peptides (CAMPs) play an important role in host defense against microbial infection and are key components of the innate immune response. These are found among all classes of life ranging from prokaryotes to humans. In addition to the natural peptides, thousands of synthetic variants have been produced. CAMPs weaken the integrity of the bacterial inner and outer membranes and subsequently kill bacterial cells. On the other hand, bacteria have developed a number of mechanisms against CAMPs. These resistance mechanisms include decreased affinity to CAMPs by substitution of anionic cell surface constituents with cationic molecules; biosynthesis and crosslinking of cell envelope components; external trapping mechanisms that bind or neutralize the CAMPs by direct secretion of proteins, or the release of CAMPs binding molecules from the host cell surface; membrane efflux pumps; and production of peptidases.",Human Diseases, Drug resistance: antimicrobial,"['12366839', '15205413', '15695810', '16450883', '16715050', '17928292', '19243444', '19609257', '20843473', '21645016', '21986630', '22072973', '22092948', '22123691', '22339775', '22799636', '23267440', '23554414', '23748343', '24034668', '25294881', '25419466', '25505462']"
map01521,EGFR tyrosine kinase inhibitor resistance,"EGFR is a tyrosine kinase that participates in the regulation of cellular homeostasis. EGFR also serves as a stimulus for cancer growth. EGFR gene mutations and protein overexpression, both of which activate down- stream pathways, are associated with cancers, especially lung cancer. Several tyrosine kinase inhibitor (TKI) therapies against EGFR are currently administered and are initially effective in cancer patients who have EGFR mutations or aberrant activation of EGFR. However, the development of TKI resistance is common and results in the recurrence of tumors. Studies over the last decade have identified mechanisms that drive resistance to EGFR TKI treatment. Most outstanding mechanisms are: the secondary EGFR mutation (T790M), activation of alternative pathways (c-Met, HGF, AXL), aberrance of the downstream pathways (K-RAS mutations, loss of PTEN), impairment of the EGFR-TKIs-mediated apoptosis pathway (BCL2-like 11/BIM deletion polymorphism), histologic transformation, etc.",Human Diseases, Drug resistance: antineoplastic,"['16843264', '17554333', '18483355', '19632948', '20551942', '20966921', '22474259', '22956644', '22970367', '23071030', '23358468', '23361103', '23401451', '24202392', '24307395', '24493829', '25232485', '25337673', '26579470']"
map01522,Endocrine resistance,"Endocrine therapy is a key treatment strategy to control or eradicate hormone-responsive breast cancer. The most commonly used endocrine therapy agents are selective estrogen receptor modulators (SERMs, e.g. tamoxifen), estrogen synthesis inhibitors (e.g. aromatase inhibitors (AIs) such as anastrozole, letrozole, and exemestane), and selective estrogen receptor down-regulators (SERDs, e.g. fulvestrant). However, resistance to these agents has become a major clinical obstacle. Mechanisms of endocrine resistance include loss of ER-alpha expression, altered expression of coactivators or coregulators that play a critical role in ER-mediated gene transcription, ligand-independent growth factor signaling cascades that activate kinases and ER-phosphorylation, altered availability of active tamoxifen metabolites regulated by drug-metabolizing enzymes, such as CYP2D6, and deregulation of the cell cycle and apoptotic machinery.",Human Diseases, Drug resistance: antineoplastic,"['15613444', '18804516', '19701242', '20887199', '20960099', '22015292', '22771991', '23344024', '23625614', '23714450', '24130921', '24289103', '24415977', '24565562', '24841429', '25907219', '26122181', '26473850', '26849149']"
map01523,Antifolate resistance,"Since the 1940s, antifolates have played a pivotal role in drug treatment of malignant, microbial, parasitic and chronic inflammatory diseases. The molecular basis of the anti-proliferative activity of antifolates relies on inhibition of key enzymes in folate metabolism, which results in disruption of purine and thymidylate biosynthesis, inhibition of DNA replication and cell death. The anti-inflammatory properties of antifolate have been most strongly related to its ability to block the release of pro-inflammatory cytokines such as tumour necrosis factor (TNF)-alpha or interleukin (IL)-1beta. Cells may develop resistance to an antifolate drug by virtue of impaired drug transport into cells, augmented drug export, impaired activation of antifolates through polyglutamylation, augmented hydrolysis of antifolate polyglutamates, increased expression and mutation of target enzymes, and the augmentation of cellular tetrahydrofolate-cofactor pools in cells.",Human Diseases, Drug resistance: antineoplastic,"['11509639', '14576850', '15117425', '16380836', '16491071', '17092765', '17203006', '17333344', '18297517', '21317831', '22921318', '22954694', '23897011', '23987246', '24732946', '26920997', '8793930']"
map01524,Platinum drug resistance,"Platinum-based drugs cisplatin, carboplatin and oxaliplatin are widely used in the therapy of solid malignancies, including testicular, ovarian, head and neck, colorectal, bladder and lung cancers. The mechanism of action of Platinum-based drugs involves covalent binding to purine DNA bases, which primarily leads to cellular apoptosis. Their clinical success is, however, limited due to severe side effects and intrinsic or acquired resistance to the treatment. Platinum resistance could arise from decreased drug influx, increased drug efflux, intracellular detoxification by glutathione, etc., decreased binding (e.g., due to high intracellular pH), increased DNA repair, decreased mismatch repair, defective apoptosis, and altered oncogene expression.",Human Diseases, Drug resistance: antineoplastic,"['14576837', '14609433', '15607932', '17336087', '17625587', '19190080', '20647037', '20811617', '21892204', '23442359', '24074238', '24874729', '25058905', '25546083', '26184483', '26867799', '26886018']"
map02010,ABC transporters,"The ATP-binding cassette (ABC) transporters form one of the largest known protein families, and are widespread in bacteria, archaea, and eukaryotes. They couple ATP hydrolysis to active transport of a wide variety of substrates such as ions, sugars, lipids, sterols, peptides, proteins, and drugs. The structure of a prokaryotic ABC transporter usually consists of three components; typically two integral membrane proteins each having six transmembrane segments, two peripheral proteins that bind and hydrolyze ATP, and a periplasmic (or lipoprotein) substrate-binding protein. Many of the genes for the three components form operons as in fact observed in many bacterial and archaeal genomes. On the other hand, in a typical eukaryotic ABC transporter, the membrane spanning protein and the ATP-binding protein are fused, forming a multi-domain protein with the membrane-spanning domain (MSD) and the nucleotide-binding domain (NBD).",Environmental Information Processing, Membrane transport,"['10557362', '11731493', '11929526', '16109926', '16135226', '17214741', '17873039', '18326572', '18375759', '18424520', '18805970', '9799792']"
map02020,Two-component system,"Two-component signal transduction systems enable bacteria to sense, respond, and adapt to changes in their environment or in their intracellular state. Each two-component system consists of a sensor protein-histidine kinase (HK) and a response regulator (RR). In the prototypical two-component pathway, the sensor HK phosphorylates its own conserved His residue in response to a signal(s) in the environment. Subsequently, the phosphoryl group of HK is transferred onto a specific Asp residue on the RR. The activated RR can then effect changes in cellular physiology, often by regulating gene expression. Two-component pathways thus often enable cells to sense and respond to stimuli by inducing changes in transcription.",Environmental Information Processing, Signal transduction,"['10089160', '10231485', '10585546', '10648521', '10708364', '10923791', '10940023', '10972810', '10972837', '11004187', '11069677', '11243806', '11285232', '11555295', '11673427', '11803016', '11807079', '11849552', '11889485', '11929534', '11973328', '12039966', '12107133', '12107138', '12167640', '12193630', '12417709', '12426351', '12626498', '12864861', '12890034', '12949159', '12949160', '12951338', '13129944', '14523104', '14604015', '14679219', '15073296', '15101991', '15170479', '15175302', '15200682', '15273097', '15322361', '15326287', '15522865', '15601704', '15773991', '15813739', '15856219', '15937169', '15941986', '15995196', '16030210', '16035234', '16077119', '1661370', '16640581', '16820295', '16882723', '17322186', '17339222', '17448786', '17526710', '17902112', '17981963', '18028314', '18422428', '18455986', '18506032', '18725229', '19203648', '19246239', '19308662', '19781638', '2666399', '7635815', '7751278', '8416895', '8455557', '8501030', '8550490', '8760916', '9220011', '9278513', '9287004']"
map02024,Quorum sensing,"Quorum sensing (QS) is a regulatory system that allows bacteria to share information about cell density and adjust gene expression accordingly. All QS bacteria produce and release chemical signal molecules called autoinducers (AIs) that increase in concentration as a function of cell density. The most commonly studied AIs belong to one of the following three categories: acylated homoserine lactones, also referred to as AI-1, used by Gram-negative bacteria; peptide signals, used by Gram-positive bacteria; and AI-2, used by both Gram-negative and Gram-positive bacteria. QS can be divided into at least 4 steps: production of AIs by the bacterial cell; release of AIs, either actively or passively, into the surrounding environment; recognition of AIs by specific receptors; and leading to changes in gene regulation once they exceed a threshold concentration. The processes controlled by QS include virulence, competence, conjugation, antibiotic production, motility, sporulation, and biofilm formation.",Cellular Processes, Cellular community - prokaryotes,"['10368158', '11497469', '11544214', '12448738', '12897006', '14617175', '15374644', '15522077', '16041013', '16513747', '16943991', '17360277', '17376080', '17666034', '18781869', '18851841', '19363118', '19683678', '19696934', '19761612', '19843225', '20030732', '20514483', '20734751', '20738404', '21166386', '21227698', '21504831', '21622734', '22016844', '22144490', '22407687', '22636768', '22712853', '22736963', '22778415', '22949660', '23125205', '23160491', '23471618', '23710277', '23799665', '23965960', '24065108', '24118108', '24348467', '24550924', '25089349', '25309879', '25475081', '25714717', '25824838', '25866808', '26579084', '7665477', '9680220', '8885277']"
map02025,Biofilm formation - Pseudomonas aeruginosa,"Surface colonization and subsequent biofilm formation and development provide numerous advantages to microorganisms. The main key actors relevant in the regulation of biofilm formation by Pseudomonas aeruginosa include cAMP/Vfr signaling, quorum sensing (QS) systems, Gac/Rsm pathway, and c-di-GMP signaling. cAMP/Vfr signaling regulates the transcription of hundreds of genes encoding diverse virulence factors, including the type 2 secretion system and type 3 secretion system and their associated toxins, type IV pili, and flagella. It is demonstrated that the accumulation of cAMP inhibits the attachment phase of biofilm formation. The QS systems are arranged hierarchically with the las system positively regulating both the rhl and PQS systems. These three QS systems are involved in the regulation of virulence factor production, biofilm maturation, and motility phenotypes. GacS/GacA two-component system is promoting the expression of two small regulatory RNAs, RsmY and RsmZ, which sequester the translational repressor RsmA. Titration of RsmA induces the production of sessile and biofilm determinants, whereas free RsmA leads to a planktonic and more virulent lifestyle. c-di-GMP is a ubiquitous bacterial second messenger. Synthesis and degradation of c-di-GMP is facilitated by diguanylate cyclases (DGC) and phosphodiesterases (PDE). High intracellular levels of c-di-GMP evoke the processes leading to the production of biofilm matrix, while a decrease in its level causes an increase in cell motility and transition into the planktonic forms of growth.",Cellular Processes, Cellular community - prokaryotes,"['18028314', '18256026', '19287449', '19426209', '20345659', '20735777', '22354680', '25666534', '25866808', '26929300', '27129226']"
map02026,Biofilm formation - Escherichia coli,"Bacteria inhabiting a biofilm are protected from physical stress, antimicrobials, and the host immune system, and thereby cause severe medical, environmental, and technical problems. Biofilm formation in Escherichia coli is regulated by two inversely controlled transcriptional feedforward cascades, the FlhDC/FliA cascade and the sigmaS/MlrA/CsgD cascade, which are active in post-exponentially growing and in stationary phase cells, respectively. Their final outputs, flagella production or the synthesis of the biofilm matrix components curli and cellulose, are mutually exclusive due to complementary sigma factor requirements, the abundant DNA-binding regulator FliZ, and opposite regulation by c-di-GMP. The RNA-binding protein CsrA, a central component of the global regulatory system, inhibits synthesis of the poly-N-acetyl-glucosamine (PGA) exopolysaccharide and glycogen and stimulates the expression of the flagellar master regulator FlhDC. CsrA activity is counteracted by two sRNAs, CsrB and CsrC. The lower figure shows that FlhDC, sigmaS, and CsgD, the transcription factors that control large regulons involved in flagellar and biofilm formation, serve as regulatory hubs for multiple environmental signal integration with a series of sRNAs providing distinct inputs.",Cellular Processes, Cellular community - prokaryotes,"['16427772', '17557827', '18765794', '19287449', '23023210', '23178000', '23443158', '24217225', '24724055', '25028968']"
map02030,Bacterial chemotaxis,"Chemotaxis is the process by which cells sense chemical gradients in their environment and then move towards more favorable conditions. In chemotaxis, events at the receptors control autophosphorylation of the CheA histidine kinase, and the phosphohistidine is the substrate for the response regulator CheY, which catalyzes the transfer of the phosphoryl group to a conserved aspartate. The resulting CheY-P can interact with the switch mechanism in the motor. This interaction causes a change in behavior, such as in direction or speed of rotation of flagella.",Cellular Processes, Cell motility,"['11158445', '11722727', '12011078', '12920116', '14749334', '15187186', '18774298', '18990184', '19203648', '8104179']"
map02040,Flagellar assembly,,Cellular Processes, Cell motility,"['11520608', '11934612', '17644605', '24970213', '26615435', '32781026', '32816086']"
map03008,Ribosome biogenesis in eukaryotes,"Ribosomes are the cellular factories responsible for making proteins. In eukaryotes, ribosome biogenesis involves the production and correct assembly of four rRNAs and about 80 ribosomal proteins. It requires hundreds of factors not present in the mature particle. In the absence of these proteins, ribosome biogenesis is stalled and cell growth is terminated even under optimal growth conditions. The primary pre-rRNA transcript is assembled into the 90S pre-ribosome, which contains both 40S and 60S assembly factors. Within this complex, the pre-rRNA is cleaved. pre-60S ribosomes are subjected to several sequential processing steps in the nucleoplasm involving numerous assembly intermediates before it is exported to the cytoplasm and matured into the 60S ribosomal subunit. The pre-40S ribosome is matured to the small ribosomal subunit in the cytoplasm by cleavage.",Genetic Information Processing, Translation,"['15120992', '17515605', '19850913', '19879902', '20174677']"
map03010,Ribosome,,Genetic Information Processing, Translation,"['10476960', '10476961', '10497122', '10937989', '10937990', '11014182', '11014183']"
