Map,Name,Description,Class,Subclass,PMIDS
map00902,Monoterpenoid biosynthesis,"Monoterpenoids (C10 terpenoids) are a group of terpenoids consisting of two isoprene units. They are derived from geranyl diphosphate (GPP). Most monoterpenoids are volatile oils with highly distinctive aromas and flavors, such as essential oils, turpentine, and oleoresins of coniferous plants. This map shows some examples. The monoterpene ketone l-menthone is specifically converted to l-menthol and d-neomenthol in mature peppermint leaves. The iridoids constitute a family of highly oxygenated monoterpenes, mixtures of which are present in many medicinal plants, such as valerian. They are derived from geraniol or nerol via oxidation of a terminal methyl group. The cyclopentane ring of loganin can itself be cleaved in a further P450-dependent step, leading to secologanin, which provides the carbon skeleton for many powerfully bioactive secondary metabolites of indole alkaloids.",Metabolism, Metabolism of terpenoids and polyketides,"['10656401', '11375201', '11524113', '1368150', '15299125', '15728344', '1864846']"
map00903,Limonene degradation,,Metabolism, Metabolism of terpenoids and polyketides,"['10224006', '10832640']"
map00904,Diterpenoid biosynthesis,,Metabolism, Metabolism of terpenoids and polyketides,"['12089320', '16137660']"
map00905,Brassinosteroid biosynthesis,"Brassinosteroids are a group of plant steroid hormones that regulate growth and development. More than fifty naturally occurring brassinosteroids have been identified in a wide range of plant species. The most abundant and widely occurring brassinosteroids are C28 steroids, and among them brassinolide (BL) is the most biologically active. Plants have multiple pathways for biosynthesis of BL, which are derived from the steroid biosynthetic pathway. Two pathways from campestanol to castasterone (CS), C6 oxidation and the late-C6 oxidation pathways, operate in many plants. Another branching pathway, the early-C22 oxidation pathway, was demonstrated using a brassinosteroid-deficient mutant of Arabidopsis thaliana. Recently, a new shortcut pathway from campesterol to 6-deoxotyphasterol was demonstrated by a functional analysis of cytochrome P450 monooxygenases responsible for brassinosteroid biosynthesis. Thus, at least four pathways are involved in the biosynthesis of CS, and CS is further metabolized to BL by lactonization of the B ring.",Metabolism, Metabolism of terpenoids and polyketides,"['12529536', '14615594', '15705958', '15710611', '17138693', '17693126', '18685225']"
map00907,"Pinene, camphor and geraniol degradation",,Metabolism, Metabolism of terpenoids and polyketides,"['11778886', '15346763', '16000717', '16272386', '16820476', '19597963', '3667521', '681275']"
map00908,Zeatin biosynthesis,"Zeatin is a member of the cytokinin family, a class of phytohormones involved in various processes of growth and development in plants. Most abundant cytokinins are adenine-type, where the N6 position of adenine is substituted with an isoprenoid, such as in zeatin, or an aromatic side chain, such as in kinetin. Zeatin can be synthesized in two different pathways: the tRNA pathway and the AMP pathway. In the tRNA pathway zeatin is a recycled product of isopentenylated tRNAs. In the AMP pathway zeatin is synthesized from an isopentenyl donor, dimethylallyl diphosphate (DMAPP), and AMP, ADP, or ATP by isopentenyltransferases. After synthesis cytokinins can be glucosylated.",Metabolism, Metabolism of terpenoids and polyketides,"['10364407', '11313355', '11479373', '12644686', '14555694', '14726522', '15280363', '15342621', '17062755', '9874810']"
map00909,Sesquiterpenoid and triterpenoid biosynthesis,"Sesquiterpenoids (C15 terpenoids) are a group of terpenoids consisting of three isoprene units. They are derive from farnesyl diphosphate (FPP) and can be cyclized to produce various skeletal structures. Sesquiterpenoid biosynthesis begins with the loss of diphosphate from FPP under the action of sesquiterpene synthesis enzymes, generating an allylic cation that is highly susceptible to intramolecular attacks. Cyclization of the farnesyl cation may take place onto either of the remaining double bonds with the result that 6-, 10-, or 11-membered rings may be formed. Many sesquiterpenoids have been isolated from plants, fungi, marine organisms, and Streptomyces species. This map shows a few examples of acyclic and cyclic sesquiterpenoids.",Metabolism, Metabolism of terpenoids and polyketides,"['12011356', '15148404', '16579958', '17226502', '18356490', '18363779', '19030608', '21876149', '9371761', '9442047']"
map00910,Nitrogen metabolism,"The biological process of the nitrogen cycle is a complex interplay among different microorganisms catalyzing different reactions, where nitrogen is found in various oxidation states ranging from +5 in nitrate to -3 in ammonia. The core nitrogen cycle involves four reduction pathways and two oxidation pathways. Nitrogen fixation [MD:M00175] is the process of reducing atmospheric molecular nitrogen to ammonia, a biologically useful reduced form incorporated into amino acids and other vital compounds. The ability of fixing atmospheric nitrogen by the nitrogenase enzyme complex is present in restricted prokaryotes (diazotrophs). The other reduction pathways are assimilatory nitrate reduction [MD:M00531] and dissimilatory nitrate reduction [MD:M00530] both for conversion to ammonia, and denitrification [MD:M00529]. Denitrification is a respiration in which nitrate or nitrite is reduced as a terminal electron acceptor under low oxygen or anoxic conditions, producing gaseous nitrogen compounds (N2, NO and N2O) to the atmosphere. The two oxidation pathways are nitrification [MD:M00528] and anaerobic ammonium oxidation (anammox) [MD:M00973]. Nitrification is the oxidation of ammonia (NH3) with oxygen into nitrite followed by the oxidation of nitrite into nitrate. The first step is performed by ammonia-oxidizing microorganisms (e.g., Nitrosomonas and Nitrosococcus) and the second step by nitrite-oxidizing microorganisms (e.g., Nitrobacter). Anammox is a biochemical process of oxidizing ammonium (NH4+) into dinitrogen gas (N2) using nitrite as an electron acceptor. It occurs in the anammoxosome, a membrane bound compartment inside the cytoplasm, of anammox bacteria (e.g., Planctomycetes).",Metabolism, Energy metabolism,"['11004450', '11921398', '14702404', '15528644', '17408485', '18021072', '19247843', '22221911', '26610024', '26610025']"
map00920,Sulfur metabolism,"Sulfur is an essential element for life and the metabolism of organic sulfur compounds plays an important role in the global sulfur cycle. Sulfur occurs in various oxidation states ranging from +6 in sulfate to -2 in sulfide (H2S). Sulfate reduction can occur in both an energy consuming assimilatory pathway and an energy producing dissimilatory pathway. The assimilatory pathway, which is found in a wide range of organisms, produces reduced sulfur compounds for the biosynthesis of S-containing amino acids and does not lead to direct excretion of sulfide. In the dissimilatory pathway, which is restricted to obligatory anaerobic bacterial and archaeal lineages, sulfate (or sulfur) is the terminal electron acceptor of the respiratory chain producing large quantities of inorganic sulfide. Both pathways start from the activation of sulfate by reaction with ATP to form adenylyl sulfate (APS). In the assimilatory pathway [MD:M00176] APS is converted to 3'-phosphoadenylyl sulfate (PAPS) and then reduced to sulfite, and sulfite is further reduced to sulfide by the assimilatory sulfite reductase. In the dissimilatory pathway [MD:M00596] APS is directly reduced to sulfite, and sulfite is further reduced to sulfide by the dissimilatory sulfite reductase. The capacity for oxidation of sulfur is quite widespread among bacteria and archaea, comprising phototrophs and chemolithoautotrophs. The SOX (sulfur-oxidation) system [MD:M00595] is a well-known sulfur oxidation pathway and is found in both photosynthetic and non-photosynthetic sulfur-oxidizing bacteria. Green sulfur bacteria and purple sulfur bacteria carry out anoxygenic photosynthesis with reduced sulfur compounds such as sulfide and elemental sulfur, as well as thiosulfate (in some species with the SOX system), as the electron donor for photoautotrophic growth. In some chemolithoautotrophic sulfur oxidizers (such as Thiobacillus denitrificans), it has been suggested that dissimilatory sulfur reduction enzymes operate in the reverse direction, forming a sulfur oxidation pathway from sulfite to APS and then to sulfate.",Metabolism, Energy metabolism,"['16452431', '18929068', '20143161', '21833341', '22092713', '22633058', '22982583', '9695921']"
map00930,Caprolactam degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['11571189', '12535077', '15658985']"
map00941,Flavonoid biosynthesis,"Flavonoids are a major class of plant secondary metabolites that serves a multitude of functions including pigments and antioxidant activity. Flavonoids are synthesized from phenylpropanoid derivatives by condensation with malonyl-CoA. For example, condensation of p-coumaroyl-CoA (C6-C3) with three malonyl-CoA (C3) molecules results in naringenin chalcone with a diphenylpropane (C6-C3-C6) unit, which is converted to naringenin with the flavone (2-phenylchromen-4-one) backbone by conjugate ring closure. These and further modifications yield a variety of structural forms including chalcones, flavanones, dihyroflavonols, and flavans, anthocyanins, flavones and flavonols, and isoflavonoids.",Metabolism, Biosynthesis of other secondary metabolites,"['11073455', '12644647', '12828368', '15231405', '16367960', '16667183', '16774647', '16832053', '16945088']"
map00944,Flavone and flavonol biosynthesis,Flavones and flavonols (3-hydroxyflavones) are common flavonoids in the plant kingdom. They are synthesized as part of the flavonoid modification pathways in aglycone and glucoside forms.,Metabolism, Biosynthesis of other secondary metabolites,"['10567367', '12482447', '15807784', '17277900', '24177970', '24241851', '3994393', '6462109']"
map00945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis","Stilbenoids are a group of phenolic compounds, biosynthetically interrelated through their common origin from a C6-C2-C6 intermediate, such as resveratol found in grapes. Stilbenoids can also exist as glycosides (e.g., piceid). Combretastatins are potentially useful stilbenoid natural products with known antitumor activity. Diarylheptanoid is a compound group having phenyl rings at 1,7 positions of n-heptane (C6-C7-C6), such as curcumin found in the ginger family. [6]-Gingerol is a major active component of ginger and has diverse pharmacologic effects.",Metabolism, Biosynthesis of other secondary metabolites,"['16890967', '17509574', '19258320']"
map00946,Degradation of flavonoids,"Flavonoids are polyphenolic compounds with the C6-C3-C6 skeleton structure. Natural flavonoids, including their O-glycoside and C-glycoside forms, are synthesized as plant secondary metabolites and thus ubiquitously found in foods of plant origin. Because of the potential health benefits of dietary flavonoids, there has been much interest in characterizing the involvement of gut microbiome and identifying key metabolites and their interactions. For example, equol metabolized from soy products [MD:M00966] is known to have estrogenic activity.",Metabolism, Biosynthesis of other secondary metabolites,"['22582059', '27059806', '31527435', '34444848']"
map00950,Isoquinoline alkaloid biosynthesis,"Isoquinoline alkaloids are tyrosine-derived plant alkaloids with an isoquinoline skeleton. Among them benzylisoquinoline alkaloids form an important group with potent pharmacological activity, including analgesic compounds of morphine and codeine, and anti-infective agents of berberine, palmatine, and magnoflorine. Biosynthesis of isoquinoline alkaloids proceeds via decarboxylation of tyrosine or DOPA to yield dopamine, which together with 4-hydroxyphenylacetaldehyde, an aldehyde derived from tyrosine, is converted to reticuline, an important precursor of various benzylisoquinoline alkaloids.",Metabolism, Biosynthesis of other secondary metabolites,"['10811648', '12423366', '14675446', '18230623', '18476877', '18492807', '24241413']"
map00965,Betalain biosynthesis,"Betalains are water-soluble nitrogen-containing pigments that are present in plants belonging to the order Caryophyllales (such as cactus and amaranth families) and in higher fungi. They contain betalamic acid as the chromophore and are classified into two types: betacyanins and betaxanthins. Betacyanins contain a cyclo-DOPA residue and exhibit red/violet coloration, while betaxanthins contain different amino acids or amino side chains and exhibit a yellow/orange coloration. The condensation of betalamic acid with amino acids (including cyclo-DOPA or amines) in plants is a spontaneous reaction, not an enzyme-catalyzed reaction.",Metabolism, Biosynthesis of other secondary metabolites,"['11855654', '12620337', '15805475', '16247652']"
map00966,Glucosinolate biosynthesis,"Glucosinolates are biologically active secondary metabolites found in Brassicaceae (mustard family) and related families.These compounds are genetically variable within plant species and used as natural pesticides, such as against insect herbivores. All glucosinolates share a common structure consisting of a beta-thioglucose moiety, a sulfonated oxime moiety, and a variable aglycone side chain derived from an alpha-amino acid. Genes encoding glucosinolate biosynthetic enzymes have been identified in Arabidopsis thaliana by genetic polymorphisms and loss-of-function mutations. This map shows examples of side chain elongation in methionine-derived glucosinolates and the core pathway for biosynthesis of glucosinolates from amino acids.",Metabolism, Biosynthesis of other secondary metabolites,"['12049923', '12586901', '14740211', '15358770', '15913672']"
map00970,Aminoacyl-tRNA biosynthesis,,Genetic Information Processing, Translation,"['15314242', '18252769']"
map00981,Insect hormone biosynthesis,,Metabolism, Metabolism of terpenoids and polyketides,"['15026169', '15350618', '15355237']"
map00996,Biosynthesis of various alkaloids,,Metabolism, Biosynthesis of other secondary metabolites,"['10217426', '16874388', '19553373', '27892922', '28754839']"
map00997,Biosynthesis of various other secondary metabolites,,Metabolism, Biosynthesis of other secondary metabolites,"['1393837', '17003031', '18689486', '19138128', '19635410', '19775248', '23653178', '24612080', '24677498', '30867596']"
map00999,Biosynthesis of various plant secondary metabolites,,Metabolism, Biosynthesis of other secondary metabolites,"['15009205', '17544411', '22569263', '26359402', '26558757', '36952412', '7622460', '9952442', '33346890']"
map01053,Biosynthesis of siderophore group nonribosomal peptides,,Metabolism, Metabolism of terpenoids and polyketides,"['10692387', '11029592', '11112537', '12040125', '9818149']"
map01054,Nonribosomal peptide structures,,Metabolism, Metabolism of terpenoids and polyketides,"['11001063', '11048953', '14766543', '15109718', '9830033', '9864322', '9303382']"
map01055,Biosynthesis of vancomycin group antibiotics,,Metabolism, Metabolism of terpenoids and polyketides,"['11035791', '12596194', '24884615', '9545426']"
map02026,Biofilm formation - Escherichia coli,"Bacteria inhabiting a biofilm are protected from physical stress, antimicrobials, and the host immune system, and thereby cause severe medical, environmental, and technical problems. Biofilm formation in Escherichia coli is regulated by two inversely controlled transcriptional feedforward cascades, the FlhDC/FliA cascade and the sigmaS/MlrA/CsgD cascade, which are active in post-exponentially growing and in stationary phase cells, respectively. Their final outputs, flagella production or the synthesis of the biofilm matrix components curli and cellulose, are mutually exclusive due to complementary sigma factor requirements, the abundant DNA-binding regulator FliZ, and opposite regulation by c-di-GMP. The RNA-binding protein CsrA, a central component of the global regulatory system, inhibits synthesis of the poly-N-acetyl-glucosamine (PGA) exopolysaccharide and glycogen and stimulates the expression of the flagellar master regulator FlhDC. CsrA activity is counteracted by two sRNAs, CsrB and CsrC. The lower figure shows that FlhDC, sigmaS, and CsgD, the transcription factors that control large regulons involved in flagellar and biofilm formation, serve as regulatory hubs for multiple environmental signal integration with a series of sRNAs providing distinct inputs.",Cellular Processes, Cellular community - prokaryotes,"['16427772', '17557827', '18765794', '19287449', '23023210', '23178000', '23443158', '24217225', '24724055', '25028968']"
map02030,Bacterial chemotaxis,"Chemotaxis is the process by which cells sense chemical gradients in their environment and then move towards more favorable conditions. In chemotaxis, events at the receptors control autophosphorylation of the CheA histidine kinase, and the phosphohistidine is the substrate for the response regulator CheY, which catalyzes the transfer of the phosphoryl group to a conserved aspartate. The resulting CheY-P can interact with the switch mechanism in the motor. This interaction causes a change in behavior, such as in direction or speed of rotation of flagella.",Cellular Processes, Cell motility,"['11158445', '11722727', '12011078', '12920116', '14749334', '15187186', '18774298', '18990184', '19203648', '8104179']"
map02040,Flagellar assembly,,Cellular Processes, Cell motility,"['11520608', '11934612', '17644605', '24970213', '26615435', '32781026', '32816086']"
map03008,Ribosome biogenesis in eukaryotes,"Ribosomes are the cellular factories responsible for making proteins. In eukaryotes, ribosome biogenesis involves the production and correct assembly of four rRNAs and about 80 ribosomal proteins. It requires hundreds of factors not present in the mature particle. In the absence of these proteins, ribosome biogenesis is stalled and cell growth is terminated even under optimal growth conditions. The primary pre-rRNA transcript is assembled into the 90S pre-ribosome, which contains both 40S and 60S assembly factors. Within this complex, the pre-rRNA is cleaved. pre-60S ribosomes are subjected to several sequential processing steps in the nucleoplasm involving numerous assembly intermediates before it is exported to the cytoplasm and matured into the 60S ribosomal subunit. The pre-40S ribosome is matured to the small ribosomal subunit in the cytoplasm by cleavage.",Genetic Information Processing, Translation,"['15120992', '17515605', '19850913', '19879902', '20174677']"
map03010,Ribosome,,Genetic Information Processing, Translation,"['10476960', '10476961', '10497122', '10937989', '10937990', '11014182', '11014183']"
map03013,Nucleocytoplasmic transport,"The exchange of molecules between the nucleus and cytoplasm is mediated through nuclear pore complexes (NPCs) embedded in the nuclear envelope. The NPC is composed of highly conserved, distinct structural modules: the inner pore ring, the cytoplasmic and nuclear rings as well as the cytoplasmic filaments and the nuclear basket. Nuclear transport receptors (e.g. importins and exportins) mediate translocation of cargos through the NPC. Cargo proteins harbouring a nuclear export signal (NES) bind to exportins and Ran-GTP to form an export complex in the nucleoplasm. Nuclear export of bulk mRNA is provided by the non-karyopherin transport proteins TAP-p15 in a Ran-GTP-independent manner. Several EJC factors are known to function in mRNA export.",Genetic Information Processing, Translation,"['15519698', '15901496', '16314458', '16777596', '18313922', '28673770']"
map03015,mRNA surveillance pathway,"The mRNA surveillance pathway is a quality control mechanism that detects and degrades abnormal mRNAs. These pathways include nonsense-mediated mRNA decay (NMD), nonstop mRNA decay (NSD), and no-go decay (NGD). NMD is a mechanism that eliminates mRNAs containing premature translation-termination codons (PTCs). In vertebrates, PTCs trigger efficient NMD when located upstream of an exon junction complex (EJC). Upf3, together with Upf1 and Upf2, may signal the presence of the PTC to the 5'end of the transcript, resulting in decapping and rapid exonucleolytic digestion of the mRNA. In the NSD pathway, which targets mRNAs lacking termination codons, the ribosome is believed to translate through the 3' untranslated region and stall at the end of the poly(A) tail. NSD involves an eRF3-like protein, Ski7p, which is hypothesized to bind the empty A site of the ribosome and recruit the exosome to degrade the mRNA from the 3' end. NGD targets mRNAs with stalls in translation elongation for endonucleolytic cleavage in a process involving the Dom34 and Hbs1 proteins.",Genetic Information Processing, Translation,"['15040442', '16715045', '16723977', '17183357', '18158581']"
map03018,RNA degradation,"The correct processing, quality control and turnover of cellular RNA molecules are critical to many aspects in the expression of genetic information. In eukaryotes, two major pathways of mRNA decay exist and both pathways are initiated by poly(A) shortening of the mRNA. In the 5' to 3' pathway, this is followed by decapping which then permits the 5' to 3' exonucleolytic degradation of transcripts. In the 3' to 5' pathway, the exosome, a large multisubunit complex, plays a key role. The exosome exists in archaeal cells, too. In bacteria, endoribonuclease E, a key enzyme involved in RNA decay and processing, organizes a protein complex called degradosome. RNase E or R interacts with the phosphate-dependent exoribonuclease polynucleotide phosphorylase, DEAD-box helicases, and additional factors in the RNA-degrading complex.",Genetic Information Processing," Folding, sorting and degradation","['16766188', '16939780', '16968219', '17447862', '17471261', '17560162', '19239894']"
map03020,RNA polymerase,,Genetic Information Processing, Transcription,"['10499798', '10784442', '18573085', '19880312', '31835031']"
map03022,Basal transcription factors,,Genetic Information Processing, Transcription,"['10838567', '12516863', '16858867', '19308322']"
map03030,DNA replication,"A complex network of interacting proteins and enzymes is required for DNA replication. Generally, DNA replication follows a multistep enzymatic pathway. At the DNA replication fork, a DNA helicase (DnaB or MCM complex) precedes the DNA synthetic machinery and unwinds the duplex parental DNA in cooperation with the SSB or RPA. On the leading strand, replication occurs continuously in a 5 to 3 direction, whereas on the lagging strand, DNA replication occurs discontinuously by synthesis and joining of short Okazaki fragments. In prokaryotes, the leading strand replication apparatus consists of a DNA polymerase (pol III core), a sliding clamp (beta), and a clamp loader (gamma delta complex). The DNA primase (DnaG) is needed to form RNA primers. Normally, during replication of the lagging-strand DNA template, an RNA primer is removed either by an RNase H or by the 5 to 3 exonuclease activity of DNA pol I, and the DNA ligase joins the Okazaki fragments. In eukaryotes, three DNA polymerases (alpha, delta, and epsilon) have been identified. DNA primase forms a permanent complex with DNA polymerase alpha. PCNA and RFC function as a clamp and a clamp loader. FEN 1 and RNase H1 remove the RNA from the Okazaki fragments and DNA ligase I joins the DNA.",Genetic Information Processing, Replication and repair,"['8087839', '9759502']"
map03040,Spliceosome,"After transcription, eukaryotic mRNA precursors contain protein-coding exons and noncoding introns. In the following splicing, introns are excised and exons are joined by a macromolecular complex, the spliceosome. The standard spliceosome is made up of five small nuclear ribonucleoproteins (snRNPs), U1, U2, U4, U5, and U6 snRNPs, and several spliceosome-associated proteins (SAPs). Spliceosomes are not a simple stable complex, but a dynamic family of particles that assemble on the mRNA precursor and help fold it into a conformation that allows transesterification to proceed. Various spliceosome forms (e.g. A-, B- and C-complexes) have been identified.",Genetic Information Processing, Transcription,"['10978320', '17537823', '19239890', '19733268']"
map03050,Proteasome,"The proteasome is a protein-destroying apparatus involved in many essential cellular functions, such as regulation of cell cycle, cell differentiation, signal transduction pathways, antigen processing for appropriate immune responses, stress signaling, inflammatory responses, and apoptosis. It is capable of degrading a variety of cellular proteins in a rapid and timely fashion and most substrate proteins are modified by ubiquitin before their degradation by the proteasome. The proteasome is a large protein complex consisting of a proteolytic core called the 20S particle and ancillary factors that regulate its activity in various ways. The most common form is the 26S proteasome containing one 20S core particle and two 19S regulatory particles that enable the proteasome to degrade ubiquitinated proteins by an ATP-dependent mechanism. Another form is the immunoproteasome containing two 11S regulatory particles, PA28 alpha and PA28 beta, which are induced by interferon gamma under the conditions of intensified immune response. Other regulatory particles include PA28 gamma and PA200. Although PA28 gamma also belongs to a family of activators of the 20S proteasome, it is localized within the nucleus and forms a homoheptamer. PA28 gamma has been implicated in the regulation of cell cycle progression and apoptosis. PA200 has been identified as a large nuclear protein that stimulates proteasomal hydrolysis of peptides.",Genetic Information Processing," Folding, sorting and degradation","['16181324', '16338359', '16919475', '18497808', '19483713', '22215586', '23495936', '28583440', '29071527']"
map03082,ATP-dependent chromatin remodeling,,Genetic Information Processing, Chromosome,"['20493981', '31769422', '32001526', '33941852']"
map03230,Viral genome structure,,Genetic Information Processing, Information processing in viruses,"['12915557', '17522203', '21569500', '21666210', '28317453', '28392570', '31083509', '32365466', '32559343', '33102628']"
map03250,Viral life cycle - HIV-1,,Genetic Information Processing, Information processing in viruses,"['12944466', '19865606', '21284899', '21360054', '25036886', '27357278', '30286189', '31028522', '32429351', '32858867']"
map03258,Virion - Bacteriophage lambda,,Genetic Information Processing, Information processing in viruses,"['20660769', '21943085', '22748812', '23851014', '23911548', '35026161', '31711962', '32384698']"
map03260,Virion - Human immunodeficiency virus,,Genetic Information Processing, Information processing in viruses,"['10890912', '11250910', '19523676', '23719463', '24179159', '8610175']"
map03261,Virion - Influenza virus,,Genetic Information Processing, Information processing in viruses,"['11162800', '14764886', '18235503', '18715929', '20451491', '32908308']"
map03262,Virion - Coronavirus,,Genetic Information Processing, Information processing in viruses,"['24418573', '28044277', '29474890', '32155444', '32979942']"
map03263,Virion - Enterovirus,,Genetic Information Processing, Information processing in viruses,"['2548847', '31482072', '32997730', '33451326']"
map03264,Virion - Flavivirus and Alphavirus,,Genetic Information Processing, Information processing in viruses,"['21124458', '23577234', '27033547', '29203665', '29306785', '31080061', '32060358']"
map03266,Virion - Herpesvirus,,Genetic Information Processing, Information processing in viruses,"['20601960', '28528442', '29622628', '29728654', '31142842', '33087881']"
map03267,Virion - Adenovirus,,Genetic Information Processing, Information processing in viruses,"['10553913', '15629723', '28978703', '30121295', '35216007', '33523995']"
map03268,Virion - Orthopoxvirus,,Genetic Information Processing, Information processing in viruses,"['15699328', '16877059', '20032175', '21742267', '23990784', '8107253', '32477596']"
map03272,Virion - Hepatitis viruses,,Genetic Information Processing, Information processing in viruses,"['10394365', '19622744', '19939922', '25327248', '36264808', '37185947', '38929615', '9687364', '32456000']"
map03273,Virion - Lassa virus and SFTS virus,,Genetic Information Processing, Information processing in viruses,"['21917929', '26912609', '28572385', '37038326', '37816705', '32341479']"
map03450,Non-homologous end-joining,"Nonhomologous end joining (NHEJ) eliminates DNA double-strand breaks (DSBs) by direct ligation. NHEJ involves binding of the KU heterodimer to double-stranded DNA ends, recruitment of DNA-PKcs (MRX complex in yeast), processing of ends, and recruitment of the DNA ligase IV (LIG4)-XRCC4 complex, which brings about ligation. A recent study shows that bacteria accomplish NHEJ using just two proteins (Ku and DNA ligase), whereas eukaryotes require many factors. NHEJ repairs DSBs at all stages of the cell cycle, bringing about the ligation of two DNA DSBs without the need for sequence homology, and so is error-prone.",Genetic Information Processing, Replication and repair,"['12215643', '15578053', '16895466', '16971555', '17506672', '17589524']"
map03460,Fanconi anemia pathway,"The Fanconi anemia pathway is required for the efficient repair of damaged DNA, especially interstrand cross-links (ICLs). DNA ICL is directly recognized by FANCM and associated proteins, that recruit the FA core complex. The FA core complex monoubiquitinates FANCD2 and FANCI. The monoubiquitinated FANCD2/FANCI becomes an active form and interacts with a series of DNA repair proteins and facilitates downstream repair pathways. Fanconi anemia is caused by mutations in one of at least 13 FA genes and is characterized by congenital growth abnormalities, bone marrow failure and cancer predisposition.",Genetic Information Processing, Replication and repair,"['18047734', '18518821', '19805513', '20039786', '20064461', '21701511']"
map04011,MAPK signaling pathway - yeast,"The S. cerevisiae genome encodes multiple MAP kinase orthologs. One (Fus3) mediates cellular response to peptide pheromones. Another (Kss1) permits adjustment to nutrient limiting conditions. A third (Hog1) is necessary for survival under hyperosmotic conditions. A fourth (Slt2/Mpk1) is required for repair of injuries to the cell wall. As in mammalian cells, these pathways consist of a conserved module in which three kinases phosphorylate each other in sequence. The MAPK is phosphorylated by the MAPK/ERK kinase (MAPKK/MEK), which is itself phosphorylated by a MEK kinase (MAPKKK/MEKK).",Environmental Information Processing, Signal transduction,"['15690603', '15944456', '17604854', '17875410', '22174182', '22219507', '23028184', '9841672']"
map04016,MAPK signaling pathway - plant,"Mitogen-activated protein kinase (MAPK) cascades, the evolutionarily conserved signaling modules in all eukaryotes, serve in transducing extracellular signals to the nucleus or cytoplasm for appropriate cellular responses, including cell division, differentiation, programmed cell death, and adaption to various stresses. In plant, several cascades are triggered by different biotic and abiotic stress stimuli such as pathogen infection, wounding, low temperature, drought, osmotic shock, high salinity, and reactive oxygen species. MAPK pathways also play pivotal roles in processes such as hormonal and developmental signaling. Multiple functional pathways initiated from distinct receptors often share the same kinase components while maintaining their signaling specificity. In contrast to those of animals and fungi, all the plant MAPK genes that have been reported belong to extracellular signal-regulated kinase (ERK) subfamily.",Environmental Information Processing, Signal transduction,"['11875555', '12119167', '18570633', '18692429', '20441529', '20980831', '23263767', '25720833']"
map04070,Phosphatidylinositol signaling system,,Environmental Information Processing, Signal transduction,"['19439500', '19580826']"
map04112,Cell cycle - Caulobacter,"Cell cycle progression of Caulobacter crescentus is implemented by an elaborate transcriptional regulatory network. During the life cycle, Caulobacter divides asymmetrically producing two distinct cell types with specialized development programs. The sessile stalked cell immediately initiates a new round of division cycle, whereas the motile swarmer cell remains in the G1 phase for a defined interval before differentiating into the stalked cell and entering into the S phase. The division process is centered around three master regulator proteins, DnaA, GcrA, and CtrA. DnaA and GcrA together drive the synthesis of proteins needed to complete DNA replication. CtrA controls the transcription of a diverse group of genes, which are required for essential morphological, metabolic, and cell cycle events.",Cellular Processes, Cell growth and death,"['15031731', '18685108', '19246239', '19287449', '19680425', '19687139', '19781638', '19854671', '20197497']"
map04122,Sulfur relay system,"Ubiquitin and ubiquitin-like proteins (Ubls) are signalling messengers that control many cellular functions, such as cell proliferation, apoptosis, and DNA repair. It is suggested that Ub-protein modification evolved from prokaryotic sulfurtransfer systems. Molybdenum cofactor (Moco) and thiamin are sulfur-containing cofactors whose biosynthesis includes a key sulfur transfer step that uses unique sulfur carrier proteins, MoaD and ThiS. Ubiquitin, MoaD, and ThiS are all structurally related proteins whose C-termini are activated through adenylation by homologous E1-like enzymes. s2T biosynthesis may share similar chemistry with Moco and thiamin synthesis. In Saccharomyces cerevisiae, Urm1 and Uba4 function as part of a ubl protein conjugation system, though they have sequence homology to bacterial sulfur-transfer enzymes and the ability to function in sulfur transfer.",Genetic Information Processing," Folding, sorting and degradation","['16859499', '19151091', '19675644']"
map04136,Autophagy - other,"Autophagy is a degradative pathway for the removal of cytoplasmic materials in eukaryotic cells, and is characterized by the formation of a double-membrane structure called the autophagosome, either in a housekeeping capacity or during stress and senescence. The process of autophagy could be divided into several stages: induction, vesicle nucleation, elongation and closure, and fusion and digestion. Most essential autophagic machineries are conserved throughout eukaryotes (see map04140 for animals and map04138 for fungi). This map is for other eukaryotes including plants and protists, where autophagy related genes (ATGs) play similar roles in the life cycle. However, autophagy has been relatively less studied in lower eukaryotes.",Cellular Processes, Transport and catabolism,"['20962583', '21660427', '22242963', '22764279', '24563201', '26598298', '26614870']"
map04137,Mitophagy - animal,"Mitochondria act as the energy powerhouse of the cell, and are essential for eukaryotic cells to grow and function normally. However, deleterious byproducts of oxidative phosphorylation process called reactive oxidative species (ROS) lead to mitochondrial dysfunction. If the damage is too excessive to be repaired, such mitochondria are selectively recognized and targeted for degradation by a specific mode of autophagy, termed mitophagy. The loss of the mitochondrial membrane potential can induce mitophagy, involving the kinase PINK1 and the E3 ligase Parkin. PINK1 serves as the sensor for the mitochondrial depolarization and recruits Parkin, followed by ubiquitin-dependent recruitment of mitophagy receptors. There are also several PINK1/Parkin-independent mitophagy pathways, in which a group of LIR-containing receptors are required in response to different stimuli. Mitophagy contributes to the maintenance of a healthy mitochondrial network and the prevention of programmed cell death.",Cellular Processes, Transport and catabolism,"['25611507', '25995186', '25999423', '26611876', '26882551', '27021519', '27443527', '27701735']"
